year,month,day,nao_index_cdas
1950,1,1,0.36500001
1950,1,2,0.096000001
1950,1,3,-0.416000009
1950,1,4,-0.615999997
1950,1,5,-0.261000007
1950,1,6,0.052000001
1950,1,7,-0.156000003
1950,1,8,-0.439999998
1950,1,9,-0.497000009
1950,1,10,-0.226999998
1950,1,11,0.209999993
1950,1,12,0.31400001
1950,1,13,0.476999998
1950,1,14,0.73299998
1950,1,15,0.879000008
1950,1,16,0.753000021
1950,1,17,0.661000013
1950,1,18,0.47299999
1950,1,19,0.566999972
1950,1,20,0.976000011
1950,1,21,1.197999954
1950,1,22,1.131999969
1950,1,23,1.105999947
1950,1,24,0.765999973
1950,1,25,0.444000006
1950,1,26,0.693000019
1950,1,27,1.286999941
1950,1,28,1.177999973
1950,1,29,0.782000005
1950,1,30,0.805000007
1950,1,31,1.034999967
1950,2,1,0.992999971
1950,2,2,0.838999987
1950,2,3,0.873000026
1950,2,4,1.00999999
1950,2,5,0.924000025
1950,2,6,0.878000021
1950,2,7,0.933000028
1950,2,8,0.865999997
1950,2,9,0.632000029
1950,2,10,0.522000015
1950,2,11,0.229000002
1950,2,12,-0.007
1950,2,13,-0.071000002
1950,2,14,-0.064000003
1950,2,15,0.145999998
1950,2,16,0.328999996
1950,2,17,0.485000014
1950,2,18,0.764999986
1950,2,19,0.744000018
1950,2,20,0.524999976
1950,2,21,0.093000002
1950,2,22,-0.122000001
1950,2,23,-0.153999999
1950,2,24,0.094999999
1950,2,25,0.234999999
1950,2,26,0.145999998
1950,2,27,-0.050999999
1950,2,28,-0.013
1950,3,1,0.356999993
1950,3,2,0.603999972
1950,3,3,0.907000005
1950,3,4,1.241999984
1950,3,5,1.121000051
1950,3,6,0.601000011
1950,3,7,0.157000005
1950,3,8,0.052000001
1950,3,9,-0.263000011
1950,3,10,-0.485000014
1950,3,11,-0.657000005
1950,3,12,-0.685000002
1950,3,13,-0.805000007
1950,3,14,-0.952000022
1950,3,15,-0.856999993
1950,3,16,-0.474000007
1950,3,17,-0.152999997
1950,3,18,-0.104000002
1950,3,19,-0.101999998
1950,3,20,-0.044
1950,3,21,0.032000002
1950,3,22,0.050000001
1950,3,23,0.050999999
1950,3,24,-0.050000001
1950,3,25,-0.077
1950,3,26,-0.052999999
1950,3,27,-0.316000015
1950,3,28,-0.317000002
1950,3,29,0.02
1950,3,30,0.556999981
1950,3,31,0.902999997
1950,4,1,1.04400003
1950,4,2,0.575999975
1950,4,3,0.481000006
1950,4,4,0.68599999
1950,4,5,0.714999974
1950,4,6,0.48300001
1950,4,7,0.529999971
1950,4,8,0.660000026
1950,4,9,0.465000004
1950,4,10,0.481000006
1950,4,11,0.49000001
1950,4,12,0.223000005
1950,4,13,0.130999997
1950,4,14,0.411000013
1950,4,15,0.944999993
1950,4,16,0.967000008
1950,4,17,0.913999975
1950,4,18,0.621999979
1950,4,19,0.829999983
1950,4,20,0.998000026
1950,4,21,0.495000005
1950,4,22,0.044
1950,4,23,-0.455000013
1950,4,24,-0.898000002
1950,4,25,-1.080000043
1950,4,26,-1.30400002
1950,4,27,-1.118000031
1950,4,28,-0.757000029
1950,4,29,-0.323000014
1950,4,30,-0.072999999
1950,5,1,0.071000002
1950,5,2,0.055
1950,5,3,0.231000006
1950,5,4,0.493000001
1950,5,5,0.296999991
1950,5,6,-0.026000001
1950,5,7,0.360000014
1950,5,8,0.469999999
1950,5,9,0.407000005
1950,5,10,0.634000003
1950,5,11,0.533999979
1950,5,12,0.01
1950,5,13,-0.499000013
1950,5,14,-0.762000024
1950,5,15,-0.912
1950,5,16,-0.977999985
1950,5,17,-0.879999995
1950,5,18,-0.723999977
1950,5,19,-0.566999972
1950,5,20,-0.518999994
1950,5,21,-0.493999988
1950,5,22,-0.584999979
1950,5,23,-0.75
1950,5,24,-0.847000003
1950,5,25,-0.825999975
1950,5,26,-0.601000011
1950,5,27,-0.518000007
1950,5,28,-0.421999991
1950,5,29,-0.159999996
1950,5,30,-0.268000007
1950,5,31,-0.321999997
1950,6,1,-0.104000002
1950,6,2,-0.044
1950,6,3,0.231000006
1950,6,4,0.610000014
1950,6,5,0.823000014
1950,6,6,0.931999981
1950,6,7,1.157999992
1950,6,8,1.083999991
1950,6,9,0.954999983
1950,6,10,0.726999998
1950,6,11,0.591000021
1950,6,12,0.279000014
1950,6,13,0.180999994
